team_id,year,gameorder,game_id,lg_id,iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes,year
SEA,1972,13174.44578313253,197201050SEA,NBA,0.5180722891566265,1972.4939759036145,1972-01-05,41.493975903614455,0.0,SEA,Thunder,105.95180722891567,1457.6764192771086,1456.1109783132526,40.35672119277107,ATL,Hawks,109.1566265060241,1460.2150168674698,1461.780457831326,H,W,0.4939520269879517,at Oakland CA,1972
SEA,1973,14395.258823529412,197302230SEA,NBA,0.4823529411764706,1973.5176470588235,1973-02-23,41.55294117647059,0.0,SEA,Thunder,106.85882352941177,1363.2096211764706,1363.4553905882356,29.78566097647061,ATL,Hawks,111.05882352941177,1490.9861094117641,1490.7403399999996,H,W,0.35279024112941193,at College Park MD,1973
SEA,1974,15557.191780821919,197401190ATL,NBA,0.5068493150684932,1974.4794520547946,1974-01-19,41.68493150684932,0.0,SEA,Thunder,104.84931506849315,1443.0927849315062,1442.8254671232874,37.523856410958906,ATL,Hawks,107.3013698630137,1480.4418547945204,1480.7091712328765,A,L,0.4497484680821919,at Omaha NE,1974
SEA,1975,16746.23076923077,197501190ATL,NBA,0.4945054945054945,1975.3846153846155,1975-01-19,46.0,0.0989010989010989,SEA,Thunder,102.97802197802197,1453.5251824175823,1453.860091208791,38.5571943956044,ATL,Hawks,104.03296703296704,1477.9698109890103,1477.6349076923075,A,L,0.4699579837362636,at Hartford CT,1975
SEA,1976,17882.733333333334,197601140ATL,NBA,0.5222222222222223,1976.411111111111,1976-01-14,44.32222222222222,0.06666666666666667,SEA,Thunder,107.04444444444445,1487.8300644444444,1488.1353233333327,40.7600683111111,ATL,Hawks,107.9,1493.6006922222225,1493.2954311111107,A,W,0.4859338080000001,,1976
SEA,1977,18869.98780487805,197702090SEA,NBA,0.47560975609756095,1977.4512195121952,1977-02-09,41.5,0.0,SEA,Thunder,103.2439024390244,1474.4068012195119,1474.4730085365857,38.06476297560977,ATL,Hawks,103.95121951219512,1505.1820670731706,1505.115857317073,H,L,0.4664030129268292,,1977
SEA,1978,19846.0099009901,197803050ATL,NBA,0.45544554455445546,1978.3366336633662,1978-03-05,52.99009900990099,0.21782178217821782,SEA,Thunder,105.45544554455445,1577.2712891089107,1578.0149029702966,48.69957412871288,ATL,Hawks,102.5049504950495,1510.8467089108915,1510.1030980198032,A,L,0.5961841782178217,,1978
SEA,1979,20806.52427184466,197901250ATL,NBA,0.5145631067961165,1979.368932038835,1979-01-25,49.47572815533981,0.1650485436893204,SEA,Thunder,106.85436893203884,1592.1027786407767,1593.241529126214,50.16436230097086,ATL,Hawks,103.75728155339806,1518.113765048544,1516.9750067961168,A,W,0.5885005924271847,,1979
SEA,1980,21771.659793814433,198001230ATL,NBA,0.4948453608247423,1980.3917525773195,1980-01-23,49.0,0.15463917525773196,SEA,Thunder,106.14432989690722,1597.034210309279,1595.616997938145,50.597751185567,ATL,Hawks,104.52577319587628,1512.7401814432985,1514.1574,A,W,0.6053142722680411,,1980
SEA,1981,22703.805555555555,198103010ATL,NBA,0.5138888888888888,1981.388888888889,1981-03-01,42.611111111111114,0.0,SEA,Thunder,104.44444444444444,1469.3568138888893,1469.9873083333332,38.25506865277779,ATL,Hawks,104.30555555555556,1498.324405555556,1497.6939083333336,A,L,0.4598623581944443,,1981
SEA,1982,23659.075268817203,198202190SEA,NBA,0.4838709677419355,1982.3333333333333,1982-02-19,45.0,0.08602150537634409,SEA,Thunder,107.38709677419355,1588.5597956989245,1589.103082795699,50.324766806451606,ATL,Hawks,102.7741935483871,1484.9094516129035,1484.3661634408602,H,L,0.6300404487096775,"at St. Louis, MO",1982
SEA,1983,24639.219512195123,198301190ATL,NBA,0.5,1983.3536585365853,1983-01-19,42.792682926829265,0.024390243902439025,SEA,Thunder,109.84146341463415,1533.2120085365855,1531.9231780487808,44.31496326829268,ATL,Hawks,110.35365853658537,1507.1801597560977,1508.4689768292683,A,L,0.5314824253658537,,1983
SEA,1984,25657.82222222222,198402170SEA,NBA,0.5111111111111111,1984.3555555555556,1984-02-17,43.56666666666667,0.05555555555555555,SEA,Thunder,104.58888888888889,1491.68115,1491.7219255555551,40.0015844777778,BOS,Celtics,104.57777777777778,1491.687756666666,1491.6469833333333,H,L,0.4973060193333334,"at Tacoma, WA",1984
SEA,1985,26678.524390243903,198501180ATL,NBA,0.5365853658536586,1985.3902439024391,1985-01-18,41.5,0.0,SEA,Thunder,103.40243902439025,1424.3968999999997,1423.2719073170726,32.91005003658535,ATL,Hawks,107.6951219512195,1499.226951219513,1500.3519499999993,A,L,0.40205959347560977,"at Tacoma, WA",1985
SEA,1986,27672.923076923078,198602170SEA,NBA,0.4230769230769231,1986.3589743589744,1986-02-17,42.06410256410256,0.0,SEA,Thunder,107.64102564102564,1444.2976538461542,1444.8754679487179,34.983334038461535,ATL,Hawks,108.01282051282051,1501.6522679487186,1501.0744564102565,H,W,0.44866479416666666,,1986
SEA,1987,28674.78125,198701240ATL,NBA,0.5729166666666666,1987.2916666666667,1987-01-24,48.5,0.14583333333333334,SEA,Thunder,112.125,1509.4737843750006,1509.9883968750007,41.68894861458332,ATL,Hawks,111.76041666666667,1515.9263395833332,1515.4117281249992,A,L,0.4736502194791666, Edmundson Pavillion),1987
SEA,1988,29665.4,198802040SEA,NBA,0.4823529411764706,1988.3058823529411,1988-02-04,44.38823529411765,0.058823529411764705,SEA,Thunder,113.02352941176471,1526.80681882353,1526.816691764706,43.92143201176471,ATL,Hawks,110.08235294117647,1486.7378811764706,1486.7280188235293,H,L,0.5516565536470588,,1988
SEA,1989,30756.655555555557,198901270SEA,NBA,0.4777777777777778,1989.2888888888888,1989-01-27,45.5,0.08888888888888889,SEA,Thunder,110.27777777777777,1537.974195555555,1538.0492855555556,46.5357721888889,ATL,Hawks,108.34444444444445,1493.0063633333332,1492.9312755555554,H,W,0.556598933111111,,1989
SEA,1990,31914.09638554217,199001130SEA,NBA,0.5301204819277109,1990.3253012048192,1990-01-13,41.325301204819276,0.0,SEA,Thunder,105.63855421686748,1477.8588746987957,1476.9063036144576,40.677427674698805,ATL,Hawks,106.62650602409639,1467.3595253012054,1468.3121048192768,H,W,0.5049927284337349,"at Tacoma, WA",1990
SEA,1991,33109.27272727273,199101260SEA,NBA,0.5,1991.3181818181818,1991-01-26,43.81818181818182,0.056818181818181816,SEA,Thunder,105.55681818181819,1511.8157306818182,1512.581872727273,43.75265845454547,ATL,Hawks,103.82954545454545,1504.2676943181816,1503.5015534090912,H,W,0.5080515669318181,"at Tacoma, WA",1991
SEA,1992,34274.95505617977,199201210SEA,NBA,0.48314606741573035,1992.2921348314608,1992-01-21,46.41573033707865,0.10112359550561797,SEA,Thunder,108.19101123595506,1550.045520224719,1551.5638134831468,47.2492004494382,ATL,Hawks,104.17977528089888,1505.069258426966,1503.550971910112,H,L,0.556175064269663,"at Yokohama, Japan",1992
